address,lat,lon
4109 DUQUESNE AVE,34.019549,-118.394076
5650 SUMNER WAY,33.98409,-118.383162
10839 BARMAN AVE,34.009539,-118.403111
4060 TILDEN AVE,34.009185,-118.409843
4044 HURON AVE,34.010664,-118.40955
4070 CHARLES AVE,34.011375,-118.408417
4037 MADISON AVE,34.018781,-118.396818
10960 ALETTA AVE,34.008993,-118.407478
3405 CAROLINE AVE,34.028299,-118.382629
1201 RAINTREE CIR,34.009443,-118.389278
4273 VINTON AVE,34.013627,-118.396402
4900 OVERLAND AVE,34.00818,-118.396686
4261 JACKSON AVE,34.013139,-118.393281
10878 VENICE BLVD,34.016093,-118.410914
8910 CARSON ST,34.025044,-118.385543
3937 TILDEN AVE,34.011471,-118.412905
11302 SUMMERTIME LN,34.005144,-118.392008
4387 JASMINE AVE,34.011524,-118.393034
4143 JACKSON AVE,34.015727,-118.395713
5317 RAINTREE CIR,34.008752,-118.390226
9950 FARRAGUT DR,34.016729,-118.392633
3813 COLLEGE AVE,34.015494,-118.411791
